2026-06-22 12:24:51:2451 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1063 B | Time: 168.973 ms | User: anonymous (anonymous)
2026-06-22 12:24:56:2456 [HTTP]: GET /api/uploads/profilePicture-1782104515392-179802896.png | Status: 304 | Size: - B | Time: 3.632 ms | User: anonymous (anonymous)
2026-06-22 12:29:51:2951 [HTTP]: GET /api/uploads/profilePicture-1782104515392-179802896.png | Status: 304 | Size: - B | Time: 1.061 ms | User: anonymous (anonymous)
2026-06-22 12:43:38:4338 [HTTP]: POST /api/login | Status: 400 | Size: 39 B | Time: 57.885 ms | User: anonymous (anonymous)
2026-06-22 12:43:56:4356 [HTTP]: POST /api/login | Status: 200 | Size: 130 B | Time: 3161.768 ms | User: anonymous (anonymous)
2026-06-22 12:44:23:4423 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1091 B | Time: 64.113 ms | User: anonymous (anonymous)
2026-06-22 13:48:27:4827 [HTTP]: GET /api/uploads/profilePicture-1782104515392-179802896.png | Status: 304 | Size: - B | Time: 2.778 ms | User: anonymous (anonymous)
2026-06-22 14:22:02:222 [HTTP]: POST /api/login | Status: 400 | Size: 39 B | Time: 295.164 ms | User: anonymous (anonymous)
2026-06-22 14:22:05:225 [HTTP]: GET /api/designations | Status: 200 | Size: 28 B | Time: 260.418 ms | User: anonymous (anonymous)
2026-06-22 14:22:05:225 [HTTP]: GET /api/designations | Status: 304 | Size: - B | Time: 262.982 ms | User: anonymous (anonymous)
2026-06-22 14:22:32:2232 [HTTP]: POST /api/register | Status: 201 | Size: 89 B | Time: 3047.974 ms | User: anonymous (anonymous)
2026-06-22 14:22:44:2244 [HTTP]: POST /api/login | Status: 200 | Size: 132 B | Time: 3818.923 ms | User: anonymous (anonymous)
2026-06-22 14:23:10:2310 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1098 B | Time: 3407.399 ms | User: anonymous (anonymous)
2026-06-22 14:24:04:244 [HTTP]: GET /api/designations | Status: 304 | Size: - B | Time: 2337.286 ms | User: anonymous (anonymous)
2026-06-22 14:24:04:244 [HTTP]: GET /api/designations | Status: 304 | Size: - B | Time: 256.689 ms | User: anonymous (anonymous)
2026-06-22 14:27:15:2715 [HTTP]: POST /api/register | Status: 201 | Size: 89 B | Time: 3031.577 ms | User: anonymous (anonymous)
2026-06-22 14:27:39:2739 [HTTP]: POST /api/login | Status: 200 | Size: 123 B | Time: 5979.863 ms | User: anonymous (anonymous)
2026-06-22 14:28:00:280 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1072 B | Time: 3152.750 ms | User: anonymous (anonymous)
2026-06-22 14:28:29:2829 [HTTP]: POST /api/login | Status: 400 | Size: 39 B | Time: 2714.279 ms | User: anonymous (anonymous)
2026-06-22 14:28:39:2839 [HTTP]: POST /api/login | Status: 200 | Size: 132 B | Time: 3692.756 ms | User: anonymous (anonymous)
2026-06-22 14:29:03:293 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1098 B | Time: 3148.048 ms | User: anonymous (anonymous)
2026-06-22 14:35:34:3534 [HTTP]: GET /api/designations | Status: 200 | Size: 28 B | Time: 262.179 ms | User: anonymous (anonymous)
2026-06-22 14:35:35:3535 [HTTP]: GET /api/designations | Status: 304 | Size: - B | Time: 262.498 ms | User: anonymous (anonymous)
2026-06-22 14:36:15:3615 [HTTP]: POST /api/register | Status: 201 | Size: 89 B | Time: 2992.349 ms | User: anonymous (anonymous)
2026-06-22 14:36:21:3621 [HTTP]: POST /api/login | Status: 429 | Size: 84 B | Time: 11.078 ms | User: anonymous (anonymous)
2026-06-22 14:36:33:3633 [HTTP]: POST /api/login | Status: 429 | Size: 84 B | Time: 2.716 ms | User: anonymous (anonymous)
2026-06-22 14:38:11:3811 [HTTP]: POST /api/login | Status: 200 | Size: 124 B | Time: 5825.418 ms | User: anonymous (anonymous)
2026-06-22 14:39:02:392 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1077 B | Time: 2865.689 ms | User: anonymous (anonymous)
2026-06-22 16:41:08:418 [HTTP]: GET / | Status: 404 | Size: 139 B | Time: 57.642 ms | User: anonymous (anonymous)
2026-06-22 16:41:28:4128 [HTTP]: POST /api/login | Status: 200 | Size: 124 B | Time: 3622.417 ms | User: anonymous (anonymous)
2026-06-22 16:42:16:4216 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1063 B | Time: 2847.968 ms | User: anonymous (anonymous)
2026-06-22 16:43:10:4310 [HTTP]: GET /api/designations | Status: 304 | Size: - B | Time: 258.785 ms | User: anonymous (anonymous)
2026-06-22 16:43:10:4310 [HTTP]: GET /api/designations | Status: 304 | Size: - B | Time: 256.795 ms | User: anonymous (anonymous)
2026-06-22 16:43:53:4353 [HTTP]: POST /api/register | Status: 201 | Size: 89 B | Time: 3072.873 ms | User: anonymous (anonymous)
2026-06-22 16:44:02:442 [HTTP]: POST /api/login | Status: 200 | Size: 124 B | Time: 3272.751 ms | User: anonymous (anonymous)
2026-06-22 16:44:28:4428 [HTTP]: POST /api/login | Status: - | Size: - B | Time: - ms | User: anonymous (anonymous)
2026-06-22 16:44:51:4451 [HTTP]: POST /api/login | Status: 200 | Size: 124 B | Time: 5049.787 ms | User: anonymous (anonymous)
2026-06-22 16:45:07:457 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1067 B | Time: 3178.358 ms | User: anonymous (anonymous)
