2026-06-12 09:32:33:3233 [HTTP]: GET /api/user/me | Status: 401 | Size: 32 B | Time: 15.488 ms | User: anonymous (anonymous)
2026-06-12 09:32:33:3233 [HTTP]: GET /api/user/notifications | Status: 401 | Size: 32 B | Time: 2.265 ms | User: anonymous (anonymous)
2026-06-12 09:32:33:3233 [HTTP]: GET /api/user/me | Status: 401 | Size: 32 B | Time: 2.093 ms | User: anonymous (anonymous)
2026-06-12 09:32:33:3233 [HTTP]: GET /api/uploads/profilePicture-1779344962274-276432023.jpg | Status: 304 | Size: - B | Time: 20.043 ms | User: anonymous (anonymous)
2026-06-12 09:32:53:3253 [HTTP]: POST /api/login | Status: 200 | Size: 132 B | Time: 3815.126 ms | User: anonymous (anonymous)
2026-06-12 09:33:26:3326 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1196 B | Time: 21.699 ms | User: anonymous (anonymous)
2026-06-12 09:33:26:3326 [HTTP]: GET /api/uploads/profilePicture-1781062850259-160707504.png | Status: 304 | Size: - B | Time: 1.621 ms | User: anonymous (anonymous)
2026-06-12 09:33:35:3335 [HTTP]: GET /api/uploads/profilePicture-1778825940647-864798375.jpg | Status: 304 | Size: - B | Time: 0.661 ms | User: anonymous (anonymous)
2026-06-12 09:36:06:366 [HTTP]: GET /api/uploads/profilePicture-1781062850259-160707504.png | Status: 304 | Size: - B | Time: 1.464 ms | User: anonymous (anonymous)
